//Section   Type   MaxSocket
0           26     3
0           27     3
0           28     3
2           16     3
2           17     3
4           23     3
5           30     3
5           31     3
5           32     3
6           17     3
6           18     3
6           19     3
6           20     3
7           45     3
7           46     3
7           47     3
7           48     3
7           49     3
7           50     3
7           51     3
7           52     3
7           53     3
8           45     3
8           46     3
8           47     3
8           48     3
8           49     3
8           50     3
8           51     3
8           52     3
8           53     3
9           45     3
9           46     3
9           47     3
9           48     3
9           49     3
9           50     3
9           51     3
9           52     3
9           53     3
10          45     3
10          46     3
10          47     3
10          48     3
10          49     3
10          50     3
10          51     3
10          52     3
10          53     3
11          45     3
11          46     3
11          47     3
11          48     3
11          49     3
11          50     3
11          51     3
11          52     3
11          53     3
end
